entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
0.2,2.4,-31917.283012448806,7,-83229.57919987,-2.2,False
0.2,2.5,-28748.51949708732,5,-75639.96378566204,-2.3,False
0.3,0.0,332482.19759237685,239,-47396.44222656451,0.3,True
0.3,0.1,331028.85653818824,313,-47396.44222656451,0.2,True
0.3,0.2,306471.19062675146,420,-47396.44222656451,0.1,True
0.3,0.3,239674.61797548312,589,-47396.44222656451,0.0,False
0.3,0.4,25139.638786018833,259,-38730.42717095047,-0.1,False
0.3,0.5,-11989.068998429553,188,-63671.9785914238,-0.2,False
0.3,0.6,-12648.609231312777,135,-91861.72020837726,-0.3,False
0.3,0.7,-34801.31182238222,114,-104416.4948038909,-0.4,False
0.3,0.8,-43916.94312432913,85,-114937.16539234393,-0.5,False
0.3,0.9,-72307.41038437265,78,-135942.57192097508,-0.6,False
0.3,1.0,-80040.56033236408,69,-146552.1191630436,-0.7,False
0.3,1.1,-79834.03353011748,60,-143621.58009776854,-0.8,False
0.3,1.2,-109438.79273622386,44,-145059.3308941871,-0.9,False
0.3,1.3,-105319.83341392597,40,-143383.6635578812,-1.0,False
0.3,1.4,-107289.28424778006,36,-144674.41595097506,-1.1,False
0.3,1.5,-89853.25787738977,28,-125817.35072954488,-1.2,False
0.3,1.6,-81520.56678287456,24,-117499.23739451371,-1.3,False
0.3,1.7,-89141.73126082955,21,-123987.07562034305,-1.4,False
0.3,1.8,-69013.9079667719,18,-110410.94210033641,-1.5,False
0.3,1.9,-60694.34350591158,18,-101776.43663952033,-1.6,False
0.3,2.0,-47732.13040612564,13,-89680.83044035509,-1.7,False
0.3,2.1,-51652.43240266047,14,-93601.13243688992,-1.8,False
0.3,2.2,-38928.089293196965,10,-85637.36826835996,-1.9,False
0.3,2.3,-41329.41180398479,10,-88003.61803284922,-2.0,False
0.3,2.4,-38082.15900603403,7,-84756.36523489846,-2.1,False
0.3,2.5,-30251.693453969645,5,-76925.89968283408,-2.2,False
0.4,0.0,315518.7768337714,194,-47396.44222656451,0.4,True
0.4,0.1,325389.08007785596,244,-47396.44222656451,0.3,True
0.4,0.2,307245.53851416026,304,-47396.44222656451,0.2,True
0.4,0.3,281161.75201072934,388,-47396.44222656451,0.1,True
0.4,0.4,256788.3521061364,563,-49359.9420141124,0.0,False
0.4,0.5,77026.16724340222,279,-37211.06666346368,-0.1,False
0.4,0.6,47965.75166075133,167,-42904.27449650182,-0.2,False
0.4,0.7,-21013.05060177383,155,-97684.16071191007,-0.3,False
0.4,0.8,-26681.124211711205,113,-100719.04769240876,-0.4,False
0.4,0.9,-58176.042251689134,93,-124765.46122751804,-0.5,False
0.4,1.0,-58078.724122092346,75,-129080.8725024958,-0.6,False
0.4,1.1,-54624.6930196211,63,-127077.33014658252,-0.7,False
0.4,1.2,-92003.15502577656,45,-128776.63217243108,-0.8,False
0.4,1.3,-92258.83000612176,41,-128641.80483400758,-0.9,False
0.4,1.4,-110229.23782432766,40,-146544.56461259775,-1.0,False
0.4,1.5,-96704.21670238525,33,-132158.69390104193,-1.1,False
0.4,1.6,-101018.29573019146,32,-136084.9839632227,-1.2,False
0.4,1.7,-107540.72493881208,28,-142607.41317184333,-1.3,False
0.4,1.8,-91396.61239970825,25,-131258.28160152602,-1.4,False
0.4,1.9,-76588.70029319014,21,-116135.42849505215,-1.5,False
0.4,2.0,-74329.2835966518,17,-114521.27482561677,-1.6,False
0.4,2.1,-74362.15617273278,17,-114554.14740169773,-1.7,False
0.4,2.2,-51775.46563044043,13,-100644.35278316746,-1.8,False
0.4,2.3,-54821.87899310979,13,-103360.79941387355,-1.9,False
0.4,2.4,-42023.69552775933,8,-88499.90175662376,-2.0,False
0.4,2.5,-35049.606417366274,6,-81525.81264623071,-2.1,False
0.5,0.0,272747.4366489088,152,-47396.44222656451,0.5,True
0.5,0.1,295716.83987165365,189,-47396.44222656451,0.4,True
0.5,0.2,302147.91266949434,229,-47396.44222656451,0.3,True
0.5,0.3,291588.39274622896,280,-47396.44222656451,0.2,True
0.5,0.4,299833.08875822736,379,-48717.87106830854,0.1,True
0.5,0.5,256716.66354838008,562,-50390.06645669765,0.0,False
0.5,0.6,97597.78287301387,271,-51267.31114755815,-0.1,False
0.5,0.7,11238.652605900012,237,-47008.15830300388,-0.2,False
0.5,0.8,4115.3734053424005,143,-79917.0300177992,-0.3,False
0.5,0.9,-63823.5470767953,133,-134549.44852448255,-0.4,False
0.5,1.0,-61443.461710938216,100,-139489.77195948502,-0.5,False
0.5,1.1,-75712.65992281014,86,-154347.98904352429,-0.6,False
0.5,1.2,-102293.38999045856,56,-142454.29952578672,-0.7,False
0.5,1.3,-97968.33275246464,50,-137738.73996902409,-0.8,False
0.5,1.4,-121987.29801307524,48,-161690.05719001894,-0.9,False
0.5,1.5,-107528.85039296043,39,-146370.75998029075,-1.0,False
0.5,1.6,-112469.86696965295,38,-150155.11465389628,-1.1,False
